KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggOrgZip,AggDstZip,MARGIN_RANK,MustTakeFlag
^3 RIVERS LOGIS-Ast/83210/33527,2973248,4800,4947,2440,83210,33527,1,
^3 RIVERS LOGIS-Ast/83210/33564,2985008,4900,5016,2522,83210,33564,1,
^3 RIVERS LOGIS-Ast/83274/33527,2974205,4800,4861,2441,83274,33527,1,
^3 RIVERS LOGIS-Ast/83434/33527,2975939,4800,4764,2414,83434,33527,1,
^ALLEN LUND COM-Ast/18106/27302,2974053,800,944,462,18106,27302,1,
^ALLEN LUND COM-Ast/22601/32063,2977020,1000,1465,767,22601,32063,1,
^ALLEN LUND COM-Ast/22602/32063,2986649,988,1476,767,22602,32063,1,
^ALLEN LUND COM-Ast/22602/32063,2985855,988,1476,767,22602,32063,2,
^ALLEN LUND COM-Ast/22602/32063,2986056,988,1476,767,22602,32063,3,
^ALLEN LUND COM-Ast/22602/32063,2978222,988,1476,767,22602,32063,4,
^ALLEN LUND COM-Ast/22602/33881,2986007,1200,1791,932,22602,33881,1,
^ALLEN LUND COM-Ast/22602/76504,2979604,1800,2657,1395,22602,76504,1,
^ALLEN LUND COM-Ast/28704/54660,2981441,1450,1830,899,28704,54660,1,
^ALLEN LUND COM-Ast/28704/54660,2984278,1450,1830,899,28704,54660,2,
^ALLEN LUND COM-Ast/28704/75160,2980646,1550,1858,942,28704,75160,1,
^ALLEN LUND COM-Ast/55024/46011,2979206,1400,1397,619,55024,46011,1,
^ALLEN LUND COM-Ast/75227/22942,2979376,2817,2635,1223,75227,22942,1,
^ALLEN LUND COM-Ast/75227/22942,2983052,2817,2635,1223,75227,22942,2,
^ALLEN LUND COM-Ast/75227/22942,2983115,2817,2635,1223,75227,22942,3,
^ALLEN LUND COM-Ast/83350/13164,2980705,5300,4866,2184,83350,13164,1,
^ALLEN LUND COM-Ast/99350/21770,2977377,5775,5827,2621,99350,21770,1,
^ALLY LOGISTICS-Ast/75050/17517,2987633,3000,2953,1442,75050,17517,1,
^ARRIVE LOGISTI-Ast/7039/56013,2986252,1650,2406,1210,7039,56013,1,
^ARRIVE LOGISTI-Ast/7201/33069,2980051,1700,2407,1246,7201,33069,1,
^ARRIVE LOGISTI-Ast/7201/33172,2980312,1800,2477,1273,7201,33172,1,
^ARRIVE LOGISTI-Ast/8104/61008,2985082,1200,1857,837,8104,61008,1,
^ARRIVE LOGISTI-Ast/8822/32926,2984053,1800,2159,1048,8822,32926,1,
^ARRIVE LOGISTI-Ast/12301/32220,2984196,1700,2145,1095,12301,32220,1,
^ARRIVE LOGISTI-Ast/13069/61008,2980601,1100,1559,747,13069,61008,1,
^ARRIVE LOGISTI-Ast/14589/8816,2973405,800,696,311,14589,8816,1,
^ARRIVE LOGISTI-Ast/14589/32218,2977309,1900,2109,1084,14589,32218,1,
^ARRIVE LOGISTI-Ast/14589/76033,2984909,2300,2880,1525,14589,76033,1,
^ARRIVE LOGISTI-Ast/14891/27105,2986711,1050,1121,575,14891,27105,1,
^ARRIVE LOGISTI-Ast/17304/61081,2985107,1025,1725,769,17304,61081,1,
^ARRIVE LOGISTI-Ast/18106/30349,2980059,1200,1517,810,18106,30349,1,
^ARRIVE LOGISTI-Ast/18640/30071,2973667,1125,1498,807,18640,30071,1,
^ARRIVE LOGISTI-Ast/18974/31063,2977948,1555,1842,888,18974,31063,1,
^ARRIVE LOGISTI-Ast/22827/81501,2973365,2850,3495,1838,22827,81501,1,
^ARRIVE LOGISTI-Ast/22827/83705,2981424,3600,4460,2364,22827,83705,1,
^ARRIVE LOGISTI-Ast/28715/12118,2977096,2000,1818,830,28715,12118,1,
^ARRIVE LOGISTI-Ast/28715/13126,2978110,2000,1767,810,28715,13126,1,
^ARRIVE LOGISTI-Ast/29209/8865,2977444,1800,1467,662,29209,8865,1,
^ARRIVE LOGISTI-Ast/43125/22942,2982259,1010,900,412,43125,22942,1,
^ARRIVE LOGISTI-Ast/54909/24210,2986409,2250,1925,826,54909,24210,1,
^ARRIVE LOGISTI-Ast/55395/17036,2984068,3000,2665,1123,55395,17036,1,
^ARRIVE LOGISTI-Ast/56308/32117,2974986,3650,3474,1695,56308,32117,1,
^ARRIVE LOGISTI-Ast/56387/75426,2973328,1900,2019,962,56387,75426,1,
^ARRIVE LOGISTI-Ast/75062/80110,2977381,1850,1636,781,75062,80110,1,
^ARRIVE LOGISTI-Ast/75134/80011,2986682,1800,1721,805,75134,80011,1,
^ARRIVE LOGISTI-Ast/75236/53177,2985323,1500,1895,982,75236,53177,1,
^ARRIVE LOGISTI-Ast/75236/55432,2984246,1500,1815,953,75236,55432,1,
^ARRIVE LOGISTI-Ast/76063/7202,2985998,3100,3263,1576,76063,7202,1,
^ARRIVE LOGISTI-Ast/76207/8060,2976317,3100,3261,1503,76207,8060,1,
^ARRIVE LOGISTI-Ast/77001/76207,2972199,650,586,279,77001,76207,1,
^ARRIVE LOGISTI-Ast/77066/80401,2980178,2500,2200,1049,77066,80401,1,
^ARRIVE LOGISTI-Ast/83318/75134,2973368,2953,3070,1482,83318,75134,1,
^ARRIVE LOGISTI-Ast/83440/29072,2983313,5000,4596,2150,83440,29072,1,
^ARRIVE LOGISTI-Ast/83440/29072,2983308,5000,4596,2150,83440,29072,2,
^ARRIVE LOGISTI-Ast/83442/29715,2984391,5050,4557,2112,83442,29715,1,
^ARRIVE LOGISTI-Ast/83651/76040,2983705,3500,3439,1626,83651,76040,1,
^ARRIVE LOGISTI-Ast/83687/14420,2979584,5000,4930,2272,83687,14420,1,
^ARRIVE LOGISTI-Ast/97222/83687,2965650,950,900,417,97222,83687,1,
^ARRIVE LOGISTI-Ast/97308/53066,2974221,3800,4243,2079,97308,53066,1,
^ARRIVE LOGISTI-Ast/97308/53066,2984986,3800,4243,2079,97308,53066,2,
^ARRIVE LOGISTI-Ast/97469/84404,2985064,1700,1695,837,97469,84404,1,
^ARRIVE LOGISTI-Ast/97914/60481,2972758,3500,3604,1728,97914,60481,1,
^ARRIVE LOGISTI-Ast/98221/77423,2973696,4700,4893,2426,98221,77423,1,
^ARRIVE LOGISTI-Ast/98225/20794,2975463,6103,6284,2847,98225,20794,1,
^ARRIVE LOGISTI-Ast/98225/20794,2967965,6103,6284,2847,98225,20794,2,
^ARRIVE LOGISTI-Ast/98225/20794,2975363,6103,6284,2847,98225,20794,3,
^ARRIVE LOGISTI-Ast/98225/20794,2979587,6103,6284,2847,98225,20794,4,
^ARRIVE LOGISTI-Ast/98225/20794,2979608,6103,6284,2847,98225,20794,5,
^ARRIVE LOGISTI-Ast/98225/20794,2979599,6103,6284,2847,98225,20794,6,
^ARRIVE LOGISTI-Ast/98424/75050,2972343,4000,4187,2121,98424,75050,1,
^ARRIVE LOGISTI-Ast/98439/60104,2975136,3900,4123,2068,98439,60104,1,
